acc.date,aircraft_type,operator,fatalities,damage,year
2021-07-21,De Havilland Canada Dhc-8-106,Skyward Express,0,Substantial,2021
2021-07-22,Airbus A321-211,Delta Air Lines,0,None,2021
2021-07-25,Boeing 737-8Jp (Wl),Norwegian Air Sweden,0,None,2021
2021-07-26,Bombardier Cl-600-2B16 Challenger 605,Aeolus Air Charter,6,Written Off,2021
2021-07-26,Cessna 208 Supervan 900,Skydive Binz,1,Written Off,2021
2021-07-27,Cessna 208B Grand Caravan,"Abyssinian Flight Services, Opf Unworld Food Programme",0,Written Off,2021
2021-07-31,Boeing 737-8As (Wl),Ryanair,0,None,2021
2021-08-03,Airbus A300B4-622R (F),European Air Transport,0,Substantial,2021
2021-08-09,Gulfstream American G-1159A Gulfstream Iii,Private,0,Written Off,2021
2021-08-11,Mcdonnell Douglas Md-11F,United Parcel Service - Ups,0,Substantial,2021
2021-08-12,Shijiazhuang Y-5B(D),Northeast General Aviation Co.,0,Written Off,2021
2021-08-14,Britten-Norman Bn-2A-Iii-2 Trislander,Roraima Airways,0,Minor,2021
2021-08-14,Bombardier Dhc-8-402Q Dash 8,Congo Airways,0,Minor,2021
2021-08-14,Beriev Be-200Chs,Russian Navy,8,Written Off,2021
2021-08-16,Cessna 208B Grand Caravan,Wright Air Service,0,Substantial,2021
2021-08-17,Ilyushin Il-112V,United Aircraft Corporation,3,Written Off,2021
2021-08-21,Airbus A319-132,American Airlines,0,None,2021
2021-08-21,De Havilland Canada Dhc-3T Turbine Otter,Brooks Range Aviation,0,Substantial,2021
2021-08-21,Gulfstream G-Iv,Sn 1124 Llc,0,Substantial,2021
2021-08-23,Boeing 737-990Er,Alaska Airlines,0,None,2021
2021-08-24,Cirrus Sf50 Vision Jet,N1Gg Llc,0,Written Off,2021
2021-08-25,Beechcraft 1900D,Skyjet,0,Substantial,2021
2021-08-26,Embraer Emb-505 Phenom 300,Nicholas Services Llc,0,Substantial,2021
2021-08-27,Bombardier Crj-900Lr,Air Canada,0,Minor,2021
2021-09-01,Boeing 767-332Er (Wl),Delta Air Lines,0,None,2021
2021-09-02,Cessna 560Xls+ Citation Xls+,Brook Haven Properties Llc,4,Written Off,2021
2021-09-03,Raytheon 390 Premier I,Pb Air Llc,0,Substantial,2021
2021-09-04,Atr 72-600 (72-212A),Indigo Airlines,0,None,2021
2021-09-04,Cessna 560Xl Citation Excel,Fly Exclusive,0,Substantial,2021
2021-09-12,British Aerospace Bae-125,Private,0,Written Off,2021
2021-09-12,Let L-410Uvp-E20,"Aeroservice, Opf Sila - Siberian Light Aviation",4,Written Off,2021
2021-09-14,Raytheon Beechjet 400A,Meander Air Ii Llc,0,Substantial,2021
2021-09-14,Beechcraft B200Gt King Air 250,Csm Agropecuária,7,Written Off,2021
2021-09-15,Airbus A320-214,Austrian Airlines,0,Substantial,2021
2021-09-15,De Havilland Canada Dhc-6 Twin Otter 300,Rimbun Air,3,Written Off,2021
2021-09-17,Canadair Crj-200Lr,"United Express, Opb Air Wisconsin",0,Substantial,2021
2021-09-20,Learjet 35A,Impuma Group,0,Substantial,2021
2021-09-22,Antonov An-26Kpa,Lps Flight Checks & Systems,6,Written Off,2021
2021-09-23,Airbus A321-271N,Hawaiian Airlines,0,Substantial,2021
2021-09-25,Cessna 208B Supervan 900,Paracentrum Vlaanderen,0,Substantial,2021
2021-09-27,Saab 340B,"Stp Airways, Lsf Aerojet",0,Substantial,2021
2021-09-27,Boeing 757-224 (Wl),United Airlines,0,Substantial,2021
2021-09-28,Iai 1124A Westwind Ii,Brasil Vida Táxi Aéreo,0,Substantial,2021
2021-09-29,Britten-Norman Bn-2B-26 Islander,Svg Air,0,Substantial,2021
2021-10-01,Embraer Erj-175Lr,"United Express, Opb Republic Airlines",0,Substantial,2021
2021-10-01,Embraer Erj-175Lr,"United Express, Opb Skywest Airlines",0,Minor,2021
2021-10-05,Dassault Falcon 20C,Sierra West Airlines,2,Written Off,2021
2021-10-08,Boeing 737-8H4 (Wl),Southwest Airlines,0,None,2021
2021-10-08,Learjet 35A,Private,0,Written Off,2021
2021-10-10,Let L-410Uvp-E3,Dosaaf,16,Written Off,2021
2021-10-13,Bombardier Bd-700-1A10 Global 6000,Vistajet,0,Substantial,2021
2021-10-14,Antonov An-2T,Private,0,Written Off,2021
2021-10-15,Cessna 208B Grand Caravan,Air Services Limited - Asl,0,None,2021
2021-10-18,Beechcraft 200 Super King Air,Lowcountry Aviation Co Brokerage Llc,0,Substantial,2021
2021-10-19,Antonov An-2R,Aeroural,0,Substantial,2021
2021-10-19,Rockwell Sabreliner 60,Private,0,Substantial,2021
2021-10-19,Mcdonnell Douglas Md-87,987 Investments Llc,0,Written Off,2021
2021-10-22,Embraer Emb-500 Phenom 100,Scout About Llc,0,Substantial,2021
2021-10-22,Cessna 208B Supervan 900,Alaska Seaplanes,0,Substantial,2021
2021-10-23,Embraer Erj-175Lr,"Envoy Air, Opf American Eagle",0,None,2021
2021-10-25,Cessna 208 Caravan I,Smart Cakrawala Aviation,1,Written Off,2021
2021-10-29,Cessna 208B Grand Caravan,Reven Global Transpor,0,Written Off,2021
2021-10-30,Beechcraft 200 King Air,"Pal Airlines, Opf Ehs Lifeflight Services",0,Substantial,2021
2021-11-01,De Havilland Canada Dhc-6 Twin Otter 300,Air Tindi,0,Substantial,2021
2021-11-02,Antonov An-26,"Optimum Aviation, Opf Euro Airlines",5,Written Off,2021
2021-11-03,Beechcraft Super King Air,Private,0,Written Off,2021
2021-11-03,Antonov An-12Bk,Grodno Aircompany,9,Written Off,2021
2021-11-03,Transall C-160Ng,Safe Air Company (Sac),0,Written Off,2021
2021-11-05,Gulfstream ?,Private,0,Written Off,2021
2021-11-05,Gulfstream Aerospace G-1159A Gulfstream Iii,Private,0,Written Off,2021
2021-11-06,Antonov An-2R,Asociatia Club Sportiv Skydiving Center,0,Substantial,2021
2021-11-13,Britten-Norman Bn-2A-6 Islander,Island Airways,4,Written Off,2021
2021-11-14,Iai 1125 Astra Sp,Emd Astra Holdings Llc,0,Substantial,2021
2021-11-21,Bombardier Bd-100-1A10 Challenger 350,Netjets,0,None,2021
2021-11-25,Airbus A320-251N,Azul Linhas Aéreas Brasileiras,0,None,2021
2021-11-28,Beechcraft 200 Super King Air,Western Wings Corp,0,Substantial,2021
2021-11-29,Boeing 747-4B5F,Kalitta Air,0,Substantial,2021
2021-12-01,Cessna 510 Citation Mustang,Private,0,Substantial,2021
2021-12-01,Cessna 208 Caravan I,Lake & Peninsula Airlines,0,Substantial,2021
2021-12-05,Airbus A350-941,Air Caraïbes Atlantique,0,None,2021
2021-12-05,Cessna 560Xl Citation Excel,Air Charter Scotland Ltd.,0,Substantial,2021
2021-12-10,Swearingen Sa-226At Merlin Iv,Castle Aviation,1,Written Off,2021
2021-12-11,Boeing 737-8As (Wl),Ryanair,0,None,2021
2021-12-12,Airbus A320-251N,Frontier Airlines,0,Substantial,2021
2021-12-14,Embraer Emb-500 Phenom 100,Dimed Sa Distribuidora Da Medicamentos,0,Substantial,2021
2021-12-15,Gulfstream G-Ivsp,Helidosa Aviation Group,9,Written Off,2021
2021-12-17,Beechcraft B200 Super King Air,Keewatin Air,0,Substantial,2021
2021-12-20,Cessna 525 Citationjet,Cottingham & Butler Insurance Services,0,Substantial,2021
2021-12-21,Airbus A321-271Nx,Jetblue Airways,0,None,2021
2021-12-21,Learjet 35A,Private,0,Written Off,2021
2021-12-21,Cessna 208B Super Cargomaster,Martinaire,0,Written Off,2021
2021-12-23,Shorts 360-300,Malu Aviation,5,Written Off,2021
2021-12-25,Airbus A330-343,Air Canada,0,Substantial,2021
2021-12-27,Learjet 35A,Aeromedevac Air Ambulance,4,Written Off,2021
2021-12-28,Beechcraft A100 King Air,Sky-Bound Aviation Llc,0,Substantial,2021
2021-12-28,Cessna 208B Grand Caravan,Halsted Aviation Corporation (Hac),0,Written Off,2021
2021-12-30,Embraer Erj-170Se,"United Express, Opb Republic Airlines",0,Substantial,2021
2021-12-30,Airbus A330-303,Thy Turkish Airlines,0,Minor,2021
2021-12-30,Beechcraft 300 Super King Air,"Empresas Ginro, S.A.",0,Written Off,2021
2021-12-31,Irma/Pilatus Britten-Norman Bn-2T Islander,Royal Moroccan Gendarmerie,0,Unknown,2021
2020-01-01,Gulfstream G Iv,Executive Charters Inc,0,None,2020
2020-01-02,Antonov An-12A,Al Quwwat Al-Jawwiya As-Sudaniya (Sudanese Air Force),18,Written Off,2020
2020-01-03,Hawker 900Xp,Million Air San Juan,0,Substantial,2020
2020-01-03,Harbin Y-12-Ii,Sri Lanka Air Force,4,Written Off,2020
2020-01-04,Beechcraft B200 King Air,"L.C. Whitford Co., Inc.",0,Substantial,2020
2020-01-05,De Havilland Canada Dhc-8-202Q,Us Special Operations Command (Ussocom),0,Written Off,2020
2020-01-05,Beechcraft B300 King Air 350,L3 Technologies,2,Written Off,2020
2020-01-08,Boeing 737-823 (Wl),American Airlines,0,Substantial,2020
2020-01-08,Boeing 737-8Kv (Wl),Ukraine International Airlines,176,Written Off,2020
2020-01-09,Lockheed C-130Bz Hercules,South African Air Force - Saaf,0,Substantial,2020
2020-01-10,Airbus A320-232,United Airlines,0,None,2020
2020-01-10,Airbus A321-231 (Wl),Nordwind Airlines,0,Substantial,2020
2020-01-12,Boeing 737-8Q8 (Wl),Jin Air,0,None,2020
2020-01-13,Airbus A320-214,Finnair,0,None,2020
2020-01-16,Airbus A380-861,Emirates,0,None,2020
2020-01-16,Beechcraft B200 King Air,Lifemed Alaska,0,Written Off,2020
2020-01-19,Fairchild Sa227-Ac Metro Iii,Perimeter Aviation,0,Substantial,2020
2020-01-20,Boeing 767-232 (Bdsf),West Air Sweden,0,Substantial,2020
2020-01-20,De Havilland Canada Dhc-8-314 Dash 8,Air Inuit,0,Substantial,2020
2020-01-23,Cessna S550 Citation S/Ii,South African Civil Aviation Authority,3,Written Off,2020
2020-01-23,Lockheed Ec-130Q Hercules,Coulson Aviation,3,Written Off,2020
2020-01-24,Gulfstream G150,Compass Aviation Llc,0,Substantial,2020
2020-01-27,Bombardier E-11A (Global Express),Us Air Force (Usaf),2,Written Off,2020
2020-01-27,Mcdonnell Douglas Md-83,Caspian Airlines,0,Written Off,2020
2020-01-28,Boeing 737-6Ct,Westjet,0,Substantial,2020
2020-01-28,Boeing 737-76N (Wl),Westjet,0,Substantial,2020
2020-01-30,Hawker 900Xp,Ale - Aerolineas Ejecutivas,0,Written Off,2020
2020-01-31,Bombardier Dhc-8-402Q Dash 8,Westjet Encore,0,Substantial,2020
2020-02-01,Boeing 747-412F (Scd),"Act Airlines, Opf Saudi Arabian Airlines",0,Substantial,2020
2020-02-02,Airbus A380-861,Emirates,0,None,2020
2020-02-03,Boeing 747-412 (Bcf),Kalitta Air,0,Substantial,2020
2020-02-03,Boeing 767-375Er,Air Canada,0,Minor,2020
2020-02-04,Cessna 208B Grand Caravan,Grant Aviation,0,Substantial,2020
2020-02-05,Boeing 737-86J (Wl),Pegasus Airlines,3,Written Off,2020
2020-02-06,Cessna 208B Grand Caravan,Redding Aero Enterprises Inc.,0,Substantial,2020
2020-02-07,Bombardier Crj-900Lr,"Psa Airlines, Opf American Eagle",0,Substantial,2020
2020-02-07,Cessna 208B Super Cargomaster,"Mountain Air Cargo, Opf Fedex",0,Substantial,2020
2020-02-07,Boeing 757-256 (Wl),Icelandair Flugfélag Islands,0,Unknown,2020
2020-02-08,Beechcraft 200 Super King Air,Transportes Torreon,0,Written Off,2020
2020-02-08,Cessna 501 Citation I/Sp,Remonia Air,4,Written Off,2020
2020-02-09,Boeing 737-524 (Wl),Utair,0,Substantial,2020
2020-02-12,Cessna 560 Citation Encore,Sc Cole Aviation Llc,0,Substantial,2020
2020-02-14,Cessna 208 Caravan I,Mission Aviation Fellowship - Maf,0,Substantial,2020
2020-02-15,Boeing 737-8Kn (Wl),Eastar Jet,0,None,2020
2020-02-20,Cessna 510 Citation Mustang,Private,0,Substantial,2020
2020-02-20,Beechcraft B200 King Air,"Lauren Engineers & Constructors, Inc.",3,Written Off,2020
2020-02-20,Antonov An-2T,T-Cement,0,Substantial,2020
2020-02-21,De Havilland Canada Dhc-3T Vazar Turbine Otter,Harbour Air,0,Substantial,2020
2020-02-23,Bombardier Cl-600-2B16 Challenger 605,Canadian Pacific Railway Company,0,Substantial,2020
2020-02-24,De Havilland Canada Dhc-6 Twin Otter 300,Trans Maldivian Airways,0,Substantial,2020
2020-02-24,Fairchild Sa227-Dc Metro 23,"Bearskin Airlines, Opb Perimeter Aviation",0,Substantial,2020
2020-02-25,Boeing 737-301 (Bdsf),Trigana Air Service,0,Substantial,2020
2020-02-25,Learjet 55,Expectra Aviation Inc.,0,Substantial,2020
2020-02-26,Antonov An-2P,Orlan 2000,0,Written Off,2020
2020-02-27,Dassault Falcon 50,Private,0,Written Off,2020
2020-02-28,Airbus A300B4-203 (F),Sigma Airlines,0,Substantial,2020
2020-02-29,Learjet 35A,East Coast Jets,0,Substantial,2020
2020-03-03,Dassault Falcon 7X,Private,0,Substantial,2020
2020-03-03,Cessna 560 Citation Encore,Private,0,Substantial,2020
2020-03-03,Cirrus Sf50 Vision Jet,Bbr Air,0,Substantial,2020
2020-03-03,Learjet 55,Jetleg Management,0,Substantial,2020
2020-03-03,Beechcraft 200 Super King Air,At Aero Llc,0,Substantial,2020
2020-03-03,Beechcraft 200 Super King Air,Executive Business Aviation Inc,0,Substantial,2020
2020-03-03,Bombardier Bd-100-1A10 Challenger 300,Legacy Air Llc,0,Substantial,2020
2020-03-03,Cessna 525C Citation Cj4,Textron Inc.,0,Substantial,2020
2020-03-03,Cessna 525 Citationjet Cj1,"Crye-Leike South, Inc",0,Substantial,2020
2020-03-03,Beechcraft B300 King Air 350I,Carol 1 Llc,0,Written Off,2020
2020-03-03,Dassault Falcon 2000,"Caridad Aviation, Llc",0,Substantial,2020
2020-03-03,Cessna S550 Citation S/Ii,Private,0,Substantial,2020
2020-03-05,Cessna 208B Super Cargomaster,"Fedex Express, Opb Csa Air",0,Substantial,2020
2020-03-06,De Havilland Canada Dhc-6 Vista Liner 300,Grand Canyon Airlines,0,Substantial,2020
2020-03-08,Boeing 767-3Q8Er,Omni Air International,0,Substantial,2020
2020-03-09,Airbus A330-343,Thai Airways International,0,Substantial,2020
2020-03-09,Gulfstream G-Ivsp,"Platinum Jet Co., Ltd.",0,Substantial,2020
2020-03-12,De Havilland Canada Dhc-3T Vazar Turbine Otter,Martini Aviation Ltd.,0,Substantial,2020
2020-03-12,Beechcraft 200 Super King Air,Private,2,Written Off,2020
2020-03-13,Cessna 525 Citationjet,Servicios 5250084,2,Written Off,2020
2020-03-14,Raytheon Hawker 800Xp,Gemini Air Group,0,Substantial,2020
2020-03-17,Cessna 208B Super Cargomaster,Planemasters,1,Written Off,2020
2020-03-19,Cessna 208 Caravan I,Mission Aviation Fellowship - Maf,0,Substantial,2020
2020-03-21,Boeing 757-223 (Wl),American Airlines,0,Substantial,2020
2020-03-22,Hawker Siddeley Hs-125-F400B,Private,0,Substantial,2020
2020-03-28,Cessna 501 Citation I/Sp,Rbr Development Llc,0,Written Off,2020
2020-03-28,Cessna 525A Citationjet Cj2+,Hog Air Aviation Llc,0,Written Off,2020
2020-03-29,Iai 1124A Westwind Ii,Lionair Inc.,8,Written Off,2020
2020-04-05,Antonov An-26,Libyan National Army,0,Written Off,2020
2020-04-12,Boeing 737-881 (Wl),"All Nippon Airways - Ana, Opb Ana Wings",0,None,2020
2020-04-16,Cessna 208 Caravan I,Mike'S Oilfield Services Ltd.,0,Substantial,2020
2020-04-19,British Aerospace Bae-125-700A,Private,2,Written Off,2020
2020-04-20,British Aerospace Bae-125-800A,Private,0,Written Off,2020
2020-04-23,Lockheed C-130J-30 Super Hercules,United States Air Force - Usaf,0,Substantial,2020
2020-04-24,Iai 1125 Astra Sp,Inversiones Sc 2012,0,Substantial,2020
2020-04-28,Beechcraft A100 King Air,Buffalo Airways,0,Substantial,2020
2020-05-02,Beechcraft B200 Super King Air,Province Of Saskatchewan Ministry Of Central Services,0,Substantial,2020
2020-05-04,Learjet 25D,Dos Mil Aerosistema,0,Substantial,2020
2020-05-04,Embraer Emb-120Rt Brasilia,African Express Airways,6,Written Off,2020
2020-05-05,Learjet 35A,Md Fly,3,Written Off,2020
2020-05-07,Hawker Siddeley Hs-125,Private,0,Written Off,2020
2020-05-08,Beechcraft 1900C,Ameriflight,0,Substantial,2020
2020-05-09,Ilyushin Il-78,Libyan Air Force,0,Written Off,2020
2020-05-09,Learjet 60Xr,United Aviation,0,Written Off,2020
2020-05-16,Let L-410Ma,Unknown,0,Substantial,2020
2020-05-19,Cessna 501 Citation I/Sp,Mcwilliams Llc,0,Substantial,2020
2020-05-19,Boeing 737-8Q8 (Wl),Swift Air,0,Substantial,2020
2020-05-21,Beechcraft 400A Beechjet,Sanjiv Goenka Group,0,Substantial,2020
2020-05-21,Embraer C-95Bm Bandeirante (Emb-110),Força Aérea Brasileira - Fab,0,Substantial,2020
2020-05-22,Airbus A320-214,Pakistan International Airlines - Pia,0,Written Off,2020
2020-05-26,Beechcraft 200 Super King Air,Private,0,Written Off,2020
2020-05-28,British Aerospace Bae-125-700A,Private,0,Substantial,2020
2020-05-30,Antonov An-2,Taraz Zhana Alem,0,Substantial,2020
2020-05-30,De Havilland Canada Dhc-6 Twin Otter 100,"Kapowsin Air Sports, Opf Skydive San Diego",0,Substantial,2020
2020-05-30,Beechcraft 200 Super King Air,Private,0,Written Off,2020
2020-06-08,Dornier 228-212,Netherlands Coast Guard (Kustwacht),0,Minor,2020
2020-06-08,Lockheed C-130H3 Hercules,United States Air Force - Usaf,0,Substantial,2020
2020-06-09,Beechcraft 1900D,Sunwest Aviation,0,Substantial,2020
2020-06-13,Beechcraft 300 Super King Air 350,Gama Aviation Signature,0,Substantial,2020
2020-06-14,Airbus A320-271N,Indigo Airlines,0,None,2020
2020-06-14,Airbus A320-232,Ural Airlines,0,Substantial,2020
2020-06-14,Airbus A320-271N,S7 Airlines,0,Minor,2020
2020-06-15,Grumman G-1159 Gulfstream Ii,Private,1,Written Off,2020
2020-06-16,Embraer Erj-145Ep,Loganair,0,Minor,2020
2020-06-16,De Havilland Canada Dhc-8-402Q Dash 8,Nordic Aviation Capital,0,Substantial,2020
2020-06-19,Gulfstream Aerospace G-1159A Gulfstream Iii,Private,0,Written Off,2020
2020-06-28,Cessna 560Xl Citation Xls,Jindal Steel & Power Ltd.,0,Substantial,2020
2020-07-02,Grumman G-1159 Gulfstream Ii Sp,Private,0,Written Off,2020
2020-07-05,Boeing 737-7H4,Southwest Airlines,0,None,2020
2020-07-05,British Aerospace Bae-125-700A,Private,0,Written Off,2020
2020-07-07,Airbus A319-111,Chair Airlines,0,Written Off,2020
2020-07-07,Hawker 800Xp,Private,0,Written Off,2020
2020-07-09,Embraer Erj-175Lr,"Envoy Air, Opf American Eagle",0,None,2020
2020-07-09,Airbus A319-132,Latam Airlines Brasil,0,None,2020
2020-07-10,Learjet 45,Aeroparadise Sa,0,Substantial,2020
2020-07-13,Britten-Norman Bn-2A-27 Islander,Tropic Air Charters,0,Substantial,2020
2020-07-13,Antonov An-2R,Zeus-Avia,2,Written Off,2020
2020-07-14,Boeing 737-8S3 (Wl),Mango,0,None,2020
2020-07-14,De Havilland Canada Dhc-8-402Q (Pf) Dash 8,Blue Bird Aviation,0,Written Off,2020
2020-07-15,Beechcraft B300 King Air 350I,Turkish Police,7,Written Off,2020
2020-07-17,Beechcraft 200 Super King Air,Skyjet Aviation,0,Substantial,2020
2020-07-19,Antonov An-2R,Phoenix,6,Written Off,2020
2020-07-20,Beechcraft B200 Super King Air,Private,0,Substantial,2020
2020-07-22,Beechcraft 400A Beechjet,N425Bj Llc,0,Substantial,2020
2020-07-22,Boeing 777-F60,Ethiopian Airlines,0,Written Off,2020
2020-07-23,Airbus A310-304,Mahan Air,0,None,2020
2020-07-25,Cessna 208B Grand Caravan,Ax Transporter,0,Substantial,2020
2020-07-26,Gulfstream Aerospace G-1159A Gulfstream Iii,Private,0,Written Off,2020
2020-07-28,Boeing 737-3Z0 (Sf),Trigana Air Service,0,Minor,2020
2020-07-30,Beechcraft 200 Super King Air,Private,0,Written Off,2020
2020-08-01,Airbus A321-211 (Wl),Aeroflot Russian International Airlines,0,Substantial,2020
2020-08-03,Antonov An-74Tk-100,"Utair-Cargo, Opf United Nations - Un",0,Written Off,2020
2020-08-04,Harbin Y-12-Ii,Kenya Air Force - Kaf,0,Substantial,2020
2020-08-07,Boeing 737-8Hg (Wl),Air India Express,21,Written Off,2020
2020-08-08,British Aerospace Bae-125,Private,0,Written Off,2020
2020-08-08,Canadair Cl-215-1A10,"Aut, Nacional De Emergência E Proteção Civil, Opb Babcock",1,Written Off,2020
2020-08-09,British Aerospace Bae-125-800A,Private,0,Written Off,2020
2020-08-10,Rockwell Sabreliner 75A,Private,2,Written Off,2020
2020-08-12,Airbus A320-214,Iberia,0,None,2020
2020-08-12,Beechcraft B200 King Air,Private,0,Written Off,2020
2020-08-13,Let L-410Uvp-E3,Doren Air Congo,4,Written Off,2020
2020-08-16,Cessna 208B Grand Caravan,City Link,0,Written Off,2020
2020-08-18,Atr 72-600 (72-212A),Air Senegal,0,Substantial,2020
2020-08-19,Boeing 767-3S2Fer,Fedex,0,Substantial,2020
2020-08-20,Beechcraft 200 Super King Air,Bomac Air,1,Written Off,2020
2020-08-22,Antonov An-26B,"South West Aviation, Lsf Skyway Air",9,Written Off,2020
2020-08-27,Boeing 747Sp-21,Las Vegas Sands Corporation,0,Substantial,2020
2020-08-28,Boeing 767-324Er,Omni Air International,0,Substantial,2020
2020-08-29,Boeing 737-81D (Wl),Skymark Airlines,0,Substantial,2020
2020-08-29,Dassault Falcon 200,Private,0,Substantial,2020
2020-09-04,Fairchild Sa227-Ac Metro Iii,Ameriflight,0,Substantial,2020
2020-09-07,Cessna 208B Grand Caravan,Grand Canyon Airlines,0,Substantial,2020
2020-09-07,Gulfstream G200 Galaxy,W.R.V. Empreendimentos E Participacoes Ltda.,0,Substantial,2020
2020-09-11,Cessna 208B Grand Caravan,Unknown,0,Written Off,2020
2020-09-15,Beechcraft 200 King Air,Private,0,Written Off,2020
2020-09-16,Cessna 560 Citation Encore,Connair Consulting Llc,0,Substantial,2020
2020-09-18,Learjet,Private,0,Written Off,2020
2020-09-19,Fokker 50,"Silverstone Air Services, Opf Saacid Airlines",0,Written Off,2020
2020-09-21,Learjet 35,Private,0,Written Off,2020
2020-09-22,Cessna 208B Grand Caravan,Private,0,Substantial,2020
2020-09-23,British Aerospace Bae-125-800A,Private,4,Written Off,2020
2020-09-25,British Aerospace Bae-125,Private,0,Written Off,2020
2020-09-25,Antonov An-26Sh,Ukraine Air Force,26,Written Off,2020
2020-09-27,Canadair Cl-600-1A11 Challenger 600,Private,0,Written Off,2020
2020-09-28,Antonov An-2,Unknown,0,Written Off,2020
2020-09-29,Lockheed Kc-130J Hercules,United States Marine Corps,0,Substantial,2020
2020-09-30,Boeing 777-232Er,Delta Air Lines,0,None,2020
2020-10-04,Gulfstream American G-1159A Gulfstream Iii,Private,0,Written Off,2020
2020-10-05,De Havilland Canada Dhc-6 Twin Otter 300,Trans Maldivian Airways,0,Substantial,2020
2020-10-05,British Aerospace Bae-125,Private,0,Written Off,2020
2020-10-05,Hawker 850Xp,Ratchthani Leasing Public Company Limited,0,Substantial,2020
2020-10-06,Boeing 737-4B6 (Sf),Aercaribe Cargo,0,Written Off,2020
2020-10-10,Douglas C-54E (Dc-4),Alaska Air Fuel,0,Substantial,2020
2020-10-10,Cessna 208B Grand Caravan,Duk Air Travel,0,Substantial,2020
2020-10-14,Airbus A320-200,unknown,0,None,2020
2020-10-14,Beechcraft 99A Airliner,Freight Runners Express,0,Substantial,2020
2020-10-14,Antonov An-32A,Aercaribe Peru,0,Written Off,2020
2020-10-16,Britten-Norman Bn-2A-27 Islander,Caroline Islands Air,0,Substantial,2020
2020-10-21,Learjet 60,Worldwide Jet Charter Inc,0,Substantial,2020
2020-10-22,De Havilland Canada Dhc-6 Twin Otter 300,Trans Maldivian Airways,0,Substantial,2020
2020-10-23,Bombardier Dhc-8-402Q Dash 8,Oriental Air Bridge,0,Substantial,2020
2020-10-24,Embraer Erj-145Lr,"American Eagle, Opb Envoy Air",0,Substantial,2020
2020-10-29,Gulfstream American G-1159A Gulfstream Iii,Private,3,Written Off,2020
2020-10-29,Britten-Norman Bn-2A-26 Islander,St. Bernard Parish Government,0,Substantial,2020
2020-10-30,Antonov An-2,Private,0,Substantial,2020
2020-10-30,Embraer Emb-500 Phenom 100,Tracbel,0,Written Off,2020
2020-10-31,Cessna Ac-208B Combat Caravan,Al Quwwat Al Jawwiya Al Iraqiya (Iraqi Air Force),2,Written Off,2020
2020-11-01,Raytheon Beechjet 400A,Georgia Jet,0,Substantial,2020
2020-11-05,Fairchild Sa227-Ac Metro Iii,Dos Mil Aerosistema,0,Substantial,2020
2020-11-09,Rockwell Sabreliner 65,Private,1,Written Off,2020
2020-11-11,British Aerospace Bae-125-800B,Private,0,Written Off,2020
2020-11-12,British Aerospace 3201 Jetstream 32Ep,Saeta Peru,0,Substantial,2020
2020-11-13,Bombardier Crj-701Er,"Skywest Airlines, Opf American Eagle",0,None,2020
2020-11-13,Antonov An-124-100,Volga-Dnepr Airlines,0,Substantial,2020
2020-11-15,Grumman G-1159 Gulfstream Ii Sp,Private,0,Written Off,2020
2020-11-16,Atr 72-500 (72-212A),Trujet,0,Substantial,2020
2020-11-23,Beechcraft 200 King Air,Air-Glaciers,0,Substantial,2020
2020-11-23,De Havilland Canada Dhc-8-314 Dash 8,Voyageur Airways,0,Substantial,2020
2020-11-23,De Havilland Canada Dhc-7-110,British Antarctic Survey,0,Substantial,2020
2020-11-26,Atr 42-300,Calm Air International,0,Substantial,2020
2020-11-28,Embraer Emb-110P1 Bandeirante,Cubana De Aviación,0,Substantial,2020
2020-11-30,Cessna 208B Grand Caravan,Royal Bahamas Defence Force,0,Substantial,2020
2020-12-01,De Havilland Canada Dhc-6 Vista Liner 300,Air Sanga,0,Substantial,2020
2020-12-02,Cessna 551 Citation Ii/Sp,Aviation Star S Ii Llc,0,Substantial,2020
2020-12-02,Boeing 737-529,Air Djibouti,0,Substantial,2020
2020-12-05,British Aerospace Bae-125-800A,Private,0,Written Off,2020
2020-12-05,Beechcraft A100 King Air,Airco Aircraft Charters,0,Substantial,2020
2020-12-09,Shijiazhuang Y-5B,Xinjiang General Aviation,0,Written Off,2020
2020-12-09,Antonov An-2R,Private,1,Written Off,2020
2020-12-10,Gulfstream Aerospace G-1159A Gulfstream Iii,Private,0,Written Off,2020
2020-12-13,Eclipse 500,Private,0,Substantial,2020
2020-12-16,Embraer Emb-500 Phenom 100,Executive Aviation Investors Inc,0,Substantial,2020
2020-12-19,British Aerospace Bae-125-700A,Private,1,Written Off,2020
2020-12-20,Raytheon Hawker 800Xp,Talon Air,0,Substantial,2020
2020-12-22,Cessna 525 Citation M2,La Barca Empreendimentos Ltda,0,Substantial,2020
2020-12-23,Airbus A320-232,United Airlines,0,None,2020
2020-12-30,Cessna 208B Supervan 900,Blue Wing Airlines,0,Substantial,2020
2019-01-07,Saab 340B,Raf-Avia,0,Substantial,2019
2019-01-12,Boeing 737-524 (Wl),Utair Aviation,0,Substantial,2019
2019-01-12,Canadair Cl-600-2A12 Challenger 601,Tw 601-C Investment Llc,0,Substantial,2019
2019-01-14,Boeing 707-3J9C,"Saha Air, Lsf Islamic Republic Of Iran Air Force - Iriaf",15,Written Off,2019
2019-01-16,Cessna 208B Grand Caravan,Air Services Limited - Asl,0,Substantial,2019
2019-01-18,Boeing 777-212Er,Singapore Airlines,0,None,2019
