acc.date,aircraft_type,operator,fatalities,damage,year
2022-05-20,Embraer Emb-110P1 Bandeirante,Sales Taxi Aéreo,0,Substantial,2022
2022-05-21,Boeing 737-7H4 (Wl),Southwest Airlines,0,None,2022
2022-05-24,De Havilland Canada Dhc-3T Turbine Otter,Yakutat Coastal Airlines,0,Substantial,2022
2022-05-25,Airbus A320-232,United Airlines,0,None,2022
2022-05-27,Boeing 787-9 Dreamliner,Etihad Airways,0,Unknown,2022
2022-05-28,Beechcraft B200 King Air,Unknown,0,Substantial,2022
2022-05-29,De Havilland Canada Dhc-6 Twin Otter 300,Tara Air,22,Written Off,2022
2022-06-02,Cessna 525 Citationjet,Kam Aviation Llc,0,Substantial,2022
2022-06-03,Cessna 208B Supervan 900,Gojump Oceanside,1,Substantial,2022
2022-06-04,Cessna 208 Caravan I,Connecticut Parachutists,0,Substantial,2022
2022-06-07,Shorts Sc.7 Skyvan 3-200,Alaskan Air Charter,0,Substantial,2022
2022-06-07,Bombardier Bd-100-1A10 Challenger 300,Pacific Dental Services,0,Minor,2022
2022-06-10,Airbus A319,unknown,0,None,2022
2022-06-13,Cessna 550 Citation Ii,Northern Meridian Llc,0,Substantial,2022
2022-06-15,Beechcraft B200 Super King Air,Asl - Air Service Liege,0,Substantial,2022
2022-06-16,Boeing 737-3M8 (Qc),Gomair,0,Substantial,2022
2022-06-17,Boeing 777-228Er,Air France,0,Minor,2022
2022-06-17,Airbus A330-202,Ita Airways,0,Minor,2022
2022-06-21,Mcdonnell Douglas Md-82,Red Air,0,Written Off,2022
2022-06-21,Antonov An-2R,Techservice,2,Written Off,2022
2022-06-22,Learjet 55C,Private,6,Written Off,2022
2022-06-22,Antonov An-30M,Npp Mir,0,Substantial,2022
2022-06-24,Fokker F-27 Friendship 500,Icon Aviation,0,Unknown,2022
2022-06-24,Ilyushin Il-76Md,Russian Air Force,5,Written Off,2022
2022-06-25,De Havilland Canada Dhc-8-402Q Dash 8,"All Nippon Airways - Ana, Opb Ana Wings",0,None,2022
2022-06-26,Cessna 208 Supervan 900,Alaska Seaplanes,0,Substantial,2022
2022-07-01,Antonov An-12Bk,Motor Sich,0,Substantial,2022
2022-07-01,Boeing 737-7H4 (Wl),Southwest Airlines,0,None,2022
2022-07-01,Learjet 35A,Flying America Sa,4,Written Off,2022
2022-07-13,Gulfstream G450,Alpha Star Aviation Services,0,Substantial,2022
2022-07-13,Cessna 208B Super Cargomaster,Corporate Air,0,Substantial,2022
2022-07-15,Raytheon Beechjet 400A,"Aircraft Management Group, Inc",0,Substantial,2022
2022-07-15,Antonov An-2R,Private,2,Substantial,2022
2022-07-16,Boeing 737-81D (Wl),Solaseed Air,0,None,2022
2022-07-16,Fokker 50,Icon Aviation,0,Substantial,2022
2022-07-16,Antonov An-12Bk,Meridian,8,Written Off,2022
2022-07-18,Fokker 50,Jubba Airways,0,Written Off,2022
2022-07-20,Airbus A321-271Nx,Wizz Air,0,None,2022
2022-07-21,Cessna 680 Citation Sovereign,Anderson Air,0,Substantial,2022
2022-07-22,Antonov An-2,Crop Protection Company,0,Substantial,2022
2022-07-24,Boeing 717-2Bd,Delta Air Lines,0,Substantial,2022
2022-07-25,Airbus A320-214,Avianca,0,None,2022
2022-07-27,Bombardier Bd-100-1A10 Challenger 300,Vistajet,0,None,2022
2022-07-28,De Havilland Canada Dhc-3T Vazar Turbine Otter,Rust'S Flying Service,0,Substantial,2022
2022-07-29,Casa C-212 Aviocar 200,Rampart Aviation,1,Substantial,2022
